Comarca,Garantía_juv,Servei_Ocu,Cod_com,Personas,Municipi,Any,Import
Baix Llobregat,N,CCFI,11,15,Cornellà de Llobregat,'15,83808
Barcelonès,N,FPOS,13,20354,Barcelona,'15,7006245.13
Baix Llobregat,S,XIMP,11,1,Castelldefels,'15,32000
Vallès Oriental,S,XIMP,41,2,Granollers,'15,62829.32
Vallès Occidental,N,PRMI,40,55,Terrassa,'15,454989.48000000004
Vallès Occidental,N,PRMI,40,7,Castellar del Vallès,'15,55920.06
Vallès Oriental,N,FOQ,41,15,Montornès del Vallès,'15,30495
Baix Llobregat,S,SUMA,11,40,Cornellà de Llobregat,'15,181600
Vallès Occidental,S,SUMA,40,17,Rubí,'15,48493.689999999995
Barcelonès,S,SUMA,13,8,Sant Adrià de Besòs,'15,33920
Vallès Oriental,S,ARIF,41,150,Mollet del Vallès,'15,74800
Baix Llobregat,N,AODL,11,1,Vallirana,'15,27045.55
Vallès Oriental,S,PIGJ,41,15,Montornès del Vallès,'15,51075.05
Barcelonès,N,APRE,13,75,Barcelona,'15,109062.07
Baix Llobregat,S,PSGJ,11,116,Sant Feliu de Llobregat,'15,232019.78
Baix Llobregat,S,XIMP,11,1,Gavà,'15,32000
Vallès Occidental,N,FOQ,40,1396,Terrassa,'15,2857145.82
Vallès Occidental,N,FPOS,40,344,Barberà del Vallès,'15,191634.46
Vallès Occidental,N,AODL,40,4,Santa Perpètua de Mogoda,'15,108182.2
Barcelonès,N,FVIA,13,1047,Barcelona,'15,97470
Vallès Occidental,N,TRFO,40,5,Palau-solità i Plegamans,'15,37054.5
Baix Llobregat,S,SUMA,11,110,Sant Feliu de Llobregat,'15,458570
Vallès Oriental,N,TB,41,114,Granollers,'15,243107.22
Barcelonès,N,PRMI,13,83,Barcelona,'15,686975.16
Vallès Oriental,S,SUMA,41,1,Lliçà de Vall,'15,2918.7
Vallès Oriental,N,TB,41,8,Canovelles,'15,110999.76
Barcelonès,S,ARIF,13,600,Barcelona,'15,299200
Vallès Oriental,N,SAC,41,420,Granollers,'15,185623.2
Baix Llobregat,N,PRMI,11,25,Sant Boi de Llobregat,'15,202617
Vallès Oriental,N,IPIS,41,400,Mollet del Vallès,'15,132084.18
Baix Llobregat,S,ARIF,11,150,Cornellà de Llobregat,'15,74800
Vallès Oriental,N,AODL,41,1,Sant Celoni,'15,27045.55
Vallès Oriental,N,AODL,41,1,Cardedeu,'15,25143.920000000002
Barcelonès,N,ARIF,13,150,Santa Coloma de Gramenet,'15,74800
Barcelonès,N,FPOT,13,29667,Barcelona,'15,8918161.07
Vallès Occidental,S,FEM,40,15,Cerdanyola del Vallès,'15,66000
Vallès Occidental,N,PRMI,40,9,Montcada i Reixac,'15,71897.76
Vallès Occidental,N,FOQ,40,105,Montcada i Reixac,'15,131784
Barcelonès,S,FEM,13,40,Santa Coloma de Gramenet,'15,176000
Vallès Occidental,S,XIMP,40,2,Terrassa,'15,64000
Baix Llobregat,S,SUMA,11,55,"Prat de Llobregat, el",'15,249790
Barcelonès,N,TB,13,2296,Barcelona,'15,3838596.9899999998
Vallès Occidental,N,PRMI,40,5,Sant Cugat del Vallès,'15,39943.2
Vallès Occidental,N,APRE,40,35,Sabadell,'15,6260.26
Barcelonès,N,CC,13,10,"Hospitalet de Llobregat, l'",'15,27564
Baix Llobregat,S,TICI,11,23,Sant Feliu de Llobregat,'15,16496.480000000003
Baix Llobregat,N,AODL,11,2,Sant Vicenç dels Horts,'15,54091.1
Vallès Occidental,N,CIF,40,547,Sabadell,'15,675033.76
Vallès Oriental,S,FEM,41,40,Mollet del Vallès,'15,176000
Vallès Occidental,N,FPOT,40,1218,Terrassa,'15,410293.1
Baix Llobregat,N,FVIA,11,264,Cornellà de Llobregat,'15,25020
Vallès Oriental,S,SUMA,41,45,Granollers,'15,202050
Vallès Oriental,N,FPOT,41,166,Mollet del Vallès,'15,39840.28999999999
Vallès Oriental,N,FPOT,41,141,Granollers,'15,39609.06
Barcelonès,N,TB,13,10,Sant Adrià de Besòs,'15,111583.86
Baix Llobregat,N,AODL,11,1,Castelldefels,'15,27045.55
Baix Llobregat,S,SUMA,11,3,Sant Feliu de Llobregat,'15,9729
Vallès Occidental,S,TICI,40,80,Castellar del Vallès,'15,47770.5
Vallès Occidental,N,FPOS,40,440,Terrassa,'15,184488.44
Vallès Occidental,N,TRFO,40,69,Sabadell,'15,609370.56
Vallès Occidental,N,FOQ,40,60,Santa Perpètua de Mogoda,'15,189621
Baix Llobregat,N,TB,11,16,"Prat de Llobregat, el",'15,131185.91999999998
Baix Llobregat,N,DAM,11,15,Viladecans,'15,35028
Barcelonès,N,CIF,13,412,Santa Coloma de Gramenet,'15,570725.99
Vallès Occidental,N,AODL,40,1,Barberà del Vallès,'15,24746.12
Barcelonès,N,CIF,13,768,"Hospitalet de Llobregat, l'",'15,467555.49000000005
