codi,Municipi,RBM_pers17,mun,Nom.Municipi,Cens,Votants,perc_participacio,Abstenció,perc_abst,1rpartit,2npartit,3rpartit,4tpartit,Codi comarca,Nom comarca,Vots.valids,PSC,ERC,JxCAT,VOX,CUP,ECP,Cs,PP,PDeCAT,PSC.perc,ERC.perc,JxCAT.perc,VOX.perc,CUP.perc,ECP.perc,Cs.perc,PP.perc,PDeCAT.perc,CodiINE,Poblacio,Hombres,Mujeres
8001,Abrera,16093,abrera,Abrera,9263,4966,53.61,4297,46.39,PSC,ERC,VOX,Cs,11,Baix Llobregat,4900,1647,982,381,561,167,412,413,181,45,33.61224489795918,20.04081632653061,7.775510204081633,11.448979591836734,3.4081632653061225,8.408163265306122,8.428571428571429,3.693877551020408,0.9183673469387756,80018,12538,6325,6213
8002,Aguilar de Segarra,17268,aguilar de segarra,Aguilar de Segarra,218,170,77.98,48,22.02,JxCat,CUP-G,ERC,PDeCAT,7,Bages,169,6,28,66,5,38,2,2,2,18,3.5502958579881656,16.56804733727811,39.053254437869825,2.9585798816568047,22.485207100591715,1.183431952662722,1.183431952662722,1.183431952662722,10.650887573964498,80023,282,148,134
8003,Alella,26429,alella,Alella,7246,4531,62.53,2715,37.47,JxCat,ERC,PSC,VOX,21,Maresme,4488,737,966,1234,313,265,200,279,206,199,16.42156862745098,21.524064171122994,27.49554367201426,6.97415329768271,5.904634581105169,4.45632798573975,6.216577540106952,4.590017825311943,4.434046345811052,80039,9904,4838,5066
8004,Alpens,18177,alpens,Alpens,212,178,83.96,34,16.04,JxCat,ERC,CUP-G,PDeCAT,24,Osona,176,6,45,82,1,19,7,0,0,10,3.4090909090909087,25.568181818181817,46.590909090909086,0.5681818181818182,10.795454545454545,3.977272727272727,0,0,5.681818181818182,80044,261,137,124
8005,"Ametlla del Vallès, L'",22152,"ametlla del vallès, l'","Ametlla del Vallès, l'",6576,3912,59.49,2664,40.51,JxCat,ERC,PSC,VOX,41,Vallès Oriental,3841,497,893,1247,278,238,192,156,107,176,12.939338713876595,23.249153866180684,32.46550377505858,7.237698516011455,6.196303046081749,4.998698255662588,4.061442332725853,2.7857328820619633,4.582140067690705,80057,8646,4358,4288
8006,Arenys de Mar,15758,arenys de mar,Arenys de Mar,11821,6426,54.36,5395,45.64,JxCat,ERC,PSC,CUP-G,21,Maresme,6337,946,1421,2056,344,510,317,218,208,180,14.92819946346852,22.42385987060123,32.444374309610225,5.428436168534007,8.04797222660565,5.002367050654883,3.4401136184314347,3.2823102414391667,2.840460785860817,80060,15941,7761,8180
8007,Arenys de Munt,15428,arenys de munt,Arenys de Munt,6931,3925,56.63,3006,43.37,JxCat,ERC,PSC,CUP-G,21,Maresme,3873,413,1088,1300,171,404,149,85,68,104,10.663568293312679,28.091918409501677,33.56571133488252,4.415182029434547,10.43119029176349,3.8471469145365353,2.194681125742319,1.7557449005938548,2.6852569067906016,80076,9121,4591,4530
8008,Argençola,14804,argençola,Argençola,177,117,66.1,60,33.9,JxCat,ERC,CUP-G,VOX,6,Anoia,116,5,25,39,7,22,6,0,2,4,4.310344827586207,21.551724137931032,33.62068965517241,6.0344827586206895,18.96551724137931,5.172413793103448,0,1.7241379310344827,3.4482758620689653,80082,219,113,106
8009,Argentona,16875,argentona,Argentona,9653,5474,56.71,4179,43.29,JxCat,ERC,PSC,CUP-G,21,Maresme,5412,863,1232,1482,367,426,311,251,181,192,15.946045824094604,22.76422764227642,27.383592017738362,6.781226903178123,7.87139689578714,5.746489283074649,4.637841832963784,3.3444198078344423,3.5476718403547673,80095,12536,6197,6339
8010,Artés,15654,artés,Artés,4250,2478,58.31,1772,41.69,JxCat,ERC,CUP-G,PSC,7,Bages,2443,291,642,775,114,305,82,84,28,74,11.911584117887843,26.279164961113384,31.72329103561195,4.666393778141629,12.48465002046664,3.356528857961523,3.4383954154727796,1.146131805157593,3.029062627916496,80109,5762,2911,2851
