municipio;perc_abst;1rpartit;2npartit;Nom comarca;PSC.perc;Poblacio
Abrera;46.39;PSC;ERC;Baix Llobregat;33.61224489795918;12538
Aguilar de Segarra;22.02;JxCat;CUP-G;Bages;3.5502958579881656;282
Alella;37.47;JxCat;ERC;Maresme;16.42156862745098;9904
Alpens;16.04;JxCat;ERC;Osona;3.4090909090909087;261
L'Ametlla del Vallès;40.51;JxCat;ERC;Vallès Oriental;12.939338713876595;8646
Arenys de Mar;45.64;JxCat;ERC;Maresme;14.92819946346852;15941
Arenys de Munt;43.37;JxCat;ERC;Maresme;10.663568293312679;9121
Argençola;33.9;JxCat;ERC;Anoia;4.310344827586207;219
Argentona;43.29;JxCat;ERC;Maresme;15.946045824094604;12536
Artés;41.69;JxCat;ERC;Bages;11.911584117887843;5762
Avià;35.93;JxCat;ERC;Berguedà;6;2220
Avinyó;37.62;JxCat;ERC;Bages;7.786116322701689;2289
Avinyonet del Penedès;37.16;JxCat;ERC;Alt Penedès;11.45703611457036;1697
Aiguafreda;39.94;JxCat;ERC;Vallès Oriental;11.604938271604938;2512
Badalona;54.25;PSC;ERC;Barcelonès;30.164299161389696;223166
Bagà;37.12;JxCat;ERC;Berguedà;16.456834532374103;2140
Balenyà;45.72;JxCat;ERC;Osona;13.618421052631579;3840
Balsareny;45.98;JxCat;ERC;Bages;17.105263157894736;3192
Barcelona;42.87;PSC;ERC;Barcelonès;23.562763203647183;1664182
Begues;36.73;ERC;JxCat;Baix Llobregat;18.394549763033176;7300
Bellprat;35.94;JxCat;ERC;Anoia;7.6923076923076925;64
Berga;46.91;JxCat;ERC;Berguedà;10.704755925286454;16760
Bigues i Riells;49.63;ERC;JxCat;Vallès Oriental;17.37193763919822;9358
Borredà;36.09;JxCat;ERC;Berguedà;10.869565217391305;464
El Bruc;45.26;ERC;PSC;Anoia;15.49942594718714;2110
El Brull;24.38;JxCat;ERC;Osona;2.631578947368421;258
Les Cabanyes;33.29;JxCat;ERC;Alt Penedès;13.29243353783231;979
Cabrera d'Anoia;54.73;ERC;PSC;Anoia;23.643410852713178;1482
Cabrera de Mar;33.41;JxCat;ERC;Maresme;14.380714879467996;4747
Cabrils;36.57;JxCat;ERC;Maresme;13.15552891818999;7432
Calaf;41.27;JxCat;ERC;Anoia;16.955538809344386;3656
Caldes d'Estrac;41.17;JxCat;ERC;Maresme;18.2975338106603;3021
Caldes de Montbui;44.41;ERC;JxCat;Vallès Oriental;18.74062968515742;17812
Calders;33.45;JxCat;ERC;Moianès;6;1045
Calella;46.65;JxCat;ERC;Maresme;17.527272727272727;19277
Calonge de Segarra;24.53;JxCat;ERC;Anoia;7.6923076923076925;188
Calldetenes;33.52;JxCat;ERC;Osona;4.765625;2513
Callús;39.61;ERC;JxCat;Bages;11.03825136612022;2129
Campins;29.78;JxCat;ERC;Vallès Oriental;11.228070175438596;541
Canet de Mar;47.16;JxCat;ERC;Maresme;16.735324407826983;14865
