codi,Municipi,RBM_pers17,mun,Nom.Municipi,Cens,Votants,perc_participacio,Abstenció.x,perc_abst,1rpartit,2npartit,3rpartit,4tpartit,Codi comarca,Nom comarca,Vots.valids,PSC,ERC,JxCAT,VOX,CUP,ECP,Cs,PP,PDeCAT,PSC.perc,ERC.perc,JxCAT.perc,VOX.perc,CUP.perc,ECP.perc,Cs.perc,PP.perc,PDeCAT.perc,CodiINE,Poblacio,Hombres,Mujeres,Nom Província,Codi Comarca,Nom Comarca,Nom Municipi,Població,Cens electoral,Participació 13:00,perc_13_part_1,Participació 18.00,perc_18_part_1,Participació 20.00,perc_20_part_1,Abstenció.y,Vots nuls,Vots en blanc,Vots vàlids,C's17,Cs17_p,PP17,PP17_p,JUNTS17,JUNTS17_p,ECP17,ECP17_p,ERC17,ERC17_p,CUP17,CUP17_p,PSC17,PSC17_p
8001,Abrera,16093,abrera,Abrera,9263,4966,53.61,4297,46.39,PSC,ERC,VOX,Cs,11,Baix Llobregat,4900,1647,982,381,561,167,412,413,181,45,33.61224489795918,20.04081632653061,7.775510204081633,11.448979591836734,3.4081632653061225,8.408163265306122,8.428571428571429,3.693877551020408,0.9183673469387756,80018,12538,6325,6213,Barcelona,11,Baix Llobregat,Abrera,12125,8965,3124,34.84662576687116,6391,71.28834355828221,7647,85.29838259899608,1318,26,38,7621,2559,33.57827056816691,321,4.212045663298779,634,8.3191182259546,815,10.694134628001574,1411,18.51463062590211,198,2.598084240913266,1487,19.511875082010235
8002,Aguilar de Segarra,17268,aguilar de segarra,Aguilar de Segarra,218,170,77.98,48,22.02,JxCat,CUP-G,ERC,PDeCAT,7,Bages,169,6,28,66,5,38,2,2,2,18,3.5502958579881656,16.56804733727811,39.053254437869825,2.9585798816568047,22.485207100591715,1.183431952662722,1.183431952662722,1.183431952662722,10.650887573964498,80023,282,148,134,Barcelona,7,Bages,Aguilar de Segarra,251,215,70,32.55813953488372,138,64.18604651162791,189,87.90697674418605,26,4,0,185,12,6.486486486486487,3,1.6216216216216217,85,45.94594594594595,1,0.5405405405405406,37,20,38,20.54054054054054,9,4.864864864864865
8003,Alella,26429,alella,Alella,7246,4531,62.53,2715,37.47,JxCat,ERC,PSC,VOX,21,Maresme,4488,737,966,1234,313,265,200,279,206,199,16.42156862745098,21.524064171122994,27.49554367201426,6.97415329768271,5.904634581105169,4.45632798573975,6.216577540106952,4.590017825311943,4.434046345811052,80039,9904,4838,5066,Barcelona,21,Maresme,Alella,9651,7142,2513,35.1862223466816,4859,68.03416409969196,6063,84.89218706244749,1079,19,29,6044,1247,20.632031767041696,211,3.4910655195234943,1860,30.774321641297153,331,5.476505625413633,1466,24.255459960291198,235,3.888153540701522,609,10.076108537392455
8004,Alpens,18177,alpens,Alpens,212,178,83.96,34,16.04,JxCat,ERC,CUP-G,PDeCAT,24,Osona,176,6,45,82,1,19,7,0,0,10,3.4090909090909087,25.568181818181817,46.590909090909086,0.5681818181818182,10.795454545454545,3.977272727272727,0,0,5.681818181818182,80044,261,137,124,Barcelona,24,Osona,Alpens,300,212,101,47.64150943396226,160,75.47169811320755,195,91.98113207547169,17,0,2,195,0,0,0,0,122,62.56410256410256,6,3.076923076923077,40,20.51282051282051,17,8.717948717948717,8,4.102564102564102
8005,"Ametlla del Vallès, L'",22152,"ametlla del vallès, l'","Ametlla del Vallès, l'",6576,3912,59.49,2664,40.51,JxCat,ERC,PSC,VOX,41,Vallès Oriental,3841,497,893,1247,278,238,192,156,107,176,12.939338713876595,23.249153866180684,32.46550377505858,7.237698516011455,6.196303046081749,4.998698255662588,4.061442332725853,2.7857328820619633,4.582140067690705,80057,8646,4358,4288,Barcelona,41,Vallès Oriental,"Ametlla del Vallès, l'",8283,6317,2082,32.95868291910717,4358,68.98844388158936,5402,85.51527623872092,915,8,19,5394,1023,18.96551724137931,125,2.3173896922506487,1966,36.447905079718204,261,4.838709677419355,1296,24.026696329254726,202,3.744901742677049,450,8.342602892102335
8006,Arenys de Mar,15758,arenys de mar,Arenys de Mar,11821,6426,54.36,5395,45.64,JxCat,ERC,PSC,CUP-G,21,Maresme,6337,946,1421,2056,344,510,317,218,208,180,14.92819946346852,22.42385987060123,32.444374309610225,5.428436168534007,8.04797222660565,5.002367050654883,3.4401136184314347,3.2823102414391667,2.840460785860817,80060,15941,7761,8180,Barcelona,21,Maresme,Arenys de Mar,15307,11669,4171,35.74427971548547,7860,67.35795698003257,9464,81.10377924415117,2205,33,33,9431,1693,17.951436751139855,318,3.3718587636517867,3068,32.53101473862793,447,4.739688262114304,2439,25.861520517442475,489,5.185028098823031,872,9.2461032764288
8007,Arenys de Munt,15428,arenys de munt,Arenys de Munt,6931,3925,56.63,3006,43.37,JxCat,ERC,PSC,CUP-G,21,Maresme,3873,413,1088,1300,171,404,149,85,68,104,10.663568293312679,28.091918409501677,33.56571133488252,4.415182029434547,10.43119029176349,3.8471469145365353,2.194681125742319,1.7557449005938548,2.6852569067906016,80076,9121,4591,4530,Barcelona,21,Maresme,Arenys de Munt,8654,6624,2446,36.92632850241546,4661,70.36533816425121,5616,84.78260869565217,1008,11,18,5605,801,14.290811775200712,104,1.8554861730597683,2107,37.591436217662796,265,4.727921498661909,1595,28.456735057983945,323,5.762711864406779,346,6.1730597680642285
8008,Argençola,14804,argençola,Argençola,177,117,66.1,60,33.9,JxCat,ERC,CUP-G,VOX,6,Anoia,116,5,25,39,7,22,6,0,2,4,4.310344827586207,21.551724137931032,33.62068965517241,6.0344827586206895,18.96551724137931,5.172413793103448,0,1.7241379310344827,3.4482758620689653,80082,219,113,106,Barcelona,6,Anoia,Argençola,212,190,77,40.526315789473685,128,67.36842105263158,158,83.15789473684211,32,0,0,158,12,7.59493670886076,3,1.89873417721519,71,44.936708860759495,3,1.89873417721519,47,29.746835443037973,17,10.759493670886076,3,1.89873417721519
8009,Argentona,16875,argentona,Argentona,9653,5474,56.71,4179,43.29,JxCat,ERC,PSC,CUP-G,21,Maresme,5412,863,1232,1482,367,426,311,251,181,192,15.946045824094604,22.76422764227642,27.383592017738362,6.781226903178123,7.87139689578714,5.746489283074649,4.637841832963784,3.3444198078344423,3.5476718403547673,80095,12536,6197,6339,Barcelona,21,Maresme,Argentona,11963,9291,3403,36.62684318157356,6685,71.95135076956194,8049,86.63222473361317,1242,22,35,8027,1737,21.639466799551514,284,3.538059050703874,2349,29.263734894730288,431,5.369378348075246,1838,22.89772019434409,491,6.116855612308459,791,9.854241933474524
8010,Artés,15654,artés,Artés,4250,2478,58.31,1772,41.69,JxCat,ERC,CUP-G,PSC,7,Bages,2443,291,642,775,114,305,82,84,28,74,11.911584117887843,26.279164961113384,31.72329103561195,4.666393778141629,12.48465002046664,3.356528857961523,3.4383954154727796,1.146131805157593,3.029062627916496,80109,5762,2911,2851,Barcelona,7,Bages,Artés,5661,4218,1509,35.77524893314367,3045,72.19061166429587,3616,85.72783309625414,602,18,18,3598,584,16.23123957754308,88,2.445803224013341,1197,33.26848249027237,133,3.6964980544747084,1023,28.432462479155085,261,7.254030016675932,265,7.36520289049472
8011,Avià,15322,avià,Avià,1745,1118,64.07,627,35.93,JxCat,ERC,CUP-G,PSC,14,Berguedà,1100,66,324,416,12,152,27,7,7,63,6,29.454545454545457,37.81818181818182,1.090909090909091,13.818181818181818,2.4545454545454546,0.6363636363636364,0.6363636363636364,5.7272727272727275,80116,2220,1113,1107,Barcelona,14,Berguedà,Avià,2258,1756,602,34.28246013667426,1288,73.34851936218679,1529,87.07289293849658,227,1,11,1528,85,5.56282722513089,23,1.5052356020942408,730,47.774869109947645,27,1.7670157068062828,467,30.56282722513089,136,8.900523560209423,48,3.1413612565445024
8012,Avinyó,14954,avinyó,Avinyó,1728,1078,62.38,650,37.62,JxCat,ERC,CUP-G,PSC,7,Bages,1066,83,297,426,18,117,26,14,13,51,7.786116322701689,27.86116322701688,39.9624765478424,1.6885553470919326,10.975609756097562,2.4390243902439024,1.3133208255159476,1.2195121951219512,4.784240150093809,80121,2289,1137,1152,Barcelona,7,Bages,Avinyó,2275,1697,602,35.474366529169124,1207,71.12551561579258,1441,84.9145550972304,256,6,12,1435,110,7.665505226480835,39,2.7177700348432055,680,47.386759581881535,25,1.7421602787456445,415,28.9198606271777,100,6.968641114982578,51,3.554006968641115
8013,Avinyonet del Penedès,16046,avinyonet del penedès,Avinyonet del Penedès,1297,815,62.84,482,37.16,JxCat,ERC,PSC,CUP-G,3,Alt Penedès,803,92,191,331,36,49,36,28,9,18,11.45703611457036,23.785803237858033,41.220423412204234,4.483188044831881,6.102117061021171,4.483188044831881,3.4869240348692405,1.1207970112079702,2.2415940224159403,80137,1697,899,798,Barcelona,3,Alt Penedès,Avinyonet del Penedès,1675,1246,476,38.20224719101123,878,70.46548956661316,1070,85.87479935794543,176,0,3,1070,168,15.700934579439252,23,2.149532710280374,423,39.532710280373834,57,5.327102803738318,253,23.644859813084114,60,5.607476635514018,77,7.196261682242991
8014,Aiguafreda,16706,aiguafreda,Aiguafreda,2048,1230,60.06,818,39.94,JxCat,ERC,PSC,CUP-G,41,Vallès Oriental,1215,141,347,393,47,115,51,27,23,42,11.604938271604938,28.559670781893004,32.34567901234568,3.868312757201646,9.465020576131687,4.197530864197531,2.2222222222222223,1.8930041152263373,3.45679012345679,80142,2512,1221,1291,Barcelona,41,Vallès Oriental,Aiguafreda,2498,2008,700,34.8605577689243,1458,72.60956175298804,1715,85.40836653386454,293,10,4,1705,197,11.55425219941349,43,2.5219941348973607,660,38.70967741935484,79,4.633431085043989,499,29.266862170087975,95,5.571847507331378,110,6.451612903225806
8015,Badalona,13690,badalona,Badalona,155358,71072,45.75,84286,54.25,PSC,ERC,JxCat,VOX,13,Barcelonès,70116,21150,13223,8420,6836,3839,5640,4678,4016,917,30.164299161389696,18.8587483598608,12.008671344628901,9.749557875520566,5.4752125049917275,8.043813109703919,6.671801015460095,5.727651320668606,1.3078327343259741,80155,223166,110018,113148,Barcelona,13,Barcelonès,Badalona,217210,155706,51589,33.13231346255122,102442,65.79194122256047,124663,80.06306757607285,31043,467,484,124196,38554,31.042867725208538,10301,8.29414795967664,14368,11.568810589713035,11262,9.067924892911206,22566,18.169667300074078,3697,2.9767464330574254,21067,16.962704112853878
8016,Bagà,16951,bagà,Bagà,1789,1125,62.88,664,37.12,JxCat,ERC,PSC,CUP-G,14,Berguedà,1112,183,300,358,30,110,31,35,16,30,16.456834532374103,26.978417266187048,32.194244604316545,2.697841726618705,9.892086330935252,2.787769784172662,3.147482014388489,1.4388489208633095,2.697841726618705,80168,2140,1061,1079,Barcelona,14,Berguedà,Bagà,2225,1817,731,40.23115024766098,1291,71.05118326912493,1561,85.91084204733076,256,3,10,1558,226,14.505776636713735,22,1.4120667522464698,536,34.403080872913996,57,3.6585365853658534,467,29.974326059050068,99,6.354300385109115,138,8.857509627727858
8017,Balenyà,13848,balenyà,Balenyà,2824,1533,54.28,1291,45.72,JxCat,ERC,PSC,CUP-G,24,Osona,1520,207,393,513,74,152,51,37,15,33,13.618421052631579,25.855263157894736,33.75,4.868421052631579,10,3.3552631578947367,2.4342105263157894,0.9868421052631579,2.1710526315789473,80174,3840,1921,1919,Barcelona,24,Osona,Balenyà,3724,2783,901,32.375134746676245,1873,67.30147323032698,2371,85.19583183614805,412,7,18,2364,400,16.920473773265652,42,1.7766497461928936,904,38.24027072758037,100,4.230118443316413,564,23.85786802030457,106,4.483925549915398,206,8.714043993231812
8018,Balsareny,15178,balsareny,Balsareny,2564,1385,54.02,1179,45.98,JxCat,ERC,PSC,CUP-G,7,Bages,1368,234,351,371,100,114,63,49,21,41,17.105263157894736,25.657894736842106,27.119883040935672,7.309941520467836,8.333333333333332,4.605263157894736,3.5818713450292394,1.5350877192982455,2.997076023391813,80180,3192,1576,1616,Barcelona,7,Bages,Balsareny,3343,2592,892,34.413580246913575,1796,69.29012345679013,2160,83.33333333333334,432,10,11,2150,459,21.348837209302328,34,1.5813953488372092,632,29.3953488372093,128,5.953488372093023,526,24.46511627906977,112,5.209302325581396,232,10.790697674418604
